name,quantity,base_img,ascended_img,card_type,card_sub_type,faction,group_identity,cost,pa,ph,ma,mh,level_up_condition,formatted_card_text,formatted_level_up_text,card_code,formatted_faction
"Alvino
<Subcolor>The Last Call</Subcolor>",,AlvinoTheLastCallv2,AlvinoTheLastCallv2LVLUP,Character,Ascendants,Assholes,Shea's,4,3,4,3,3,"Alvino watches the bar get completely trashed, and he loves it.Once 4 Characters (allied or enemy) have taken a shot from Alvino and suffered permanent MH damage, he levels up.","<AbilityTag><AssholeColor>A Round of Shots</AssholeColor></AbilityTag> (Standard Ability)
<Spacer>.</Spacer>
<Immersion>Alvino forces you to drink up, and he doesn't take no for an answer.</Immersion> Once per round, Pay 1 Energy to hand a target Character a drink. They gain a temporary +2 Physical Attack (PA) buff until the end of the Round, but instantly take 1 permanent Mental Health (MH) damage.","<AbilityTag><AssholeColor>A Round of Shots</AssholeColor></AbilityTag> (Standard Ability)
<Spacer>.</Spacer>
<Immersion>Alvino forces you to drink up, and he doesn't take no for an answer.</Immersion> Once per round, Pay 1 Energy to hand a target Character a drink. They gain a temporary +2 Physical Attack (PA) buff until the end of the Round, but instantly take 1 permanent Mental Health (MH) damage.

<AbilityTag><AssholeColor>Closing Time</AssholeColor></AbilityTag> (Fast Ability)
<Spacer>.</Spacer>
<Immersion>Alvino decides the fun is over, and it's time to kick everyone out.</Immersion> During the Reaction Window, pay 1 Energy to Counter an enemy Character's attack or ability aimed at an allied Character or the controlling player's Life Points. When Alvino successfully counters a character they are immedietly returned to their owners hand.",,Asshole
"Angel
<Subcolor>The Smiling Saboteur</Subcolor>",,AngelTheSmilingSaboteur,AngelTheSmilingSaboteurLVLUP,Character,Ascendants,Assholes,Mobb 134,4,4,3,3,3,"Angel finally shows his true colors.Once Angel has successfully siphoned 4 Energy from the opponent, he levels up.","<AbilityTag><AssholeColor>False Savior</AssholeColor></AbilityTag> <icon=""Infiltrator""/>
<Spacer>.</Spacer>
<Immersion>Angel smiles right in your face while he picks your pocket.</Immersion> When summoned, place Angel onto the opponent's Board. The opponent takes control of him to attack or pay costs, but they cannot activate his printed abilities, and their other Characters cannot attack him.

<AbilityTag><AssholeColor>The Siphon</AssholeColor></AbilityTag> (Trigger Ability)
<Spacer>.</Spacer>
<Immersion>During Phase 1 (The Refresh), force the opponent to change 1 card in their Resource Row to Used (they lose 1 Energy this Round), and the controlling player gains +1 temporary Energy until the end of Phase 3.</Immersion>","<AbilityTag><AssholeColor>False Savior</AssholeColor></AbilityTag> <icon=""Infiltrator""/>
<Spacer>.</Spacer>
<Immersion>Angel smiles right in your face while he picks your pocket.</Immersion> When summoned, place Angel onto the opponent's Board. The opponent takes control of him to attack or pay costs, but they cannot activate his printed abilities, and their other Characters cannot attack him.

<AbilityTag><AssholeColor>The Siphon</AssholeColor></AbilityTag> (Trigger Ability)
<Spacer>.</Spacer>
<Immersion>During Phase 1 (The Refresh), force the opponent to change 1 card in their Resource Row to Used (they lose 1 Energy this Round), and the controlling player gains +1 temporary Energy until the end of Phase 3.</Immersion>

<AbilityTag><AssholeColor>The Betrayal</AssholeColor></AbilityTag> (Passive Ability)
<Spacer>.</Spacer>
<Immersion>Angel snaps the trap shut and ruins them all.</Immersion> The moment he levels up, he deals 4 Mental Attack (MA) damage to every Character on the opponent's Board. As long as he remains face-up, the maximum Mental Health (MH) of all enemy Characters is reduced by 4 (minimum of 1).",,Asshole
Any,,,,Character,Ascendants,Icons,,,,,,,,,,,Icon
"Benny Blanco
<Subcolor>Titan Of The Topshelf</Subcolor>",,BennyBlancoTitanOfTheTopshelf,BennyBlancoTitanOfTheTopshelflvlup,Character,Ascendants,Warmongers,Mobb 134,4,2,5,1,3,"Benny sees his crew hurting and opens the premium stash.When Benny has successfully served [A1 Drinkz] to his allies 3 times throughout the game, he levels up.","<AbilityTag><WarmongerColor>Bouncer</WarmongerColor></AbilityTag> <icon=""Protector""/>
<Spacer>.</Spacer>
<Immersion>Benny takes the bullet just to keep his friends breathing.</Immersion> As a Reaction, Benny can intercept one attack per Combat Wave intended for Life Points or another Character, forcefully changing the attacker's target to himself.

<AbilityTag><WarmongerColor>A1 Drinkz</WarmongerColor></AbilityTag> (Fast Ability)
<Spacer>.</Spacer>
<Immersion>Benny cracks open his personal stash to put his friends back on their feet.</Immersion> Once per round, Pay 1 Energy to grant an allied Character +1 Physical Attack (PA) and heal them for 2 Physical Health (PH).","<AbilityTag><WarmongerColor>Bouncer</WarmongerColor></AbilityTag> <icon=""Protector""/>
<Spacer>.</Spacer>
<Immersion>Benny takes the bullet just to keep his friends breathing.</Immersion> As a Reaction, Benny can intercept one attack per Combat Wave intended for Life Points or another Character, forcefully changing the attacker's target to himself.

<AbilityTag><WarmongerColor>A1 Drinkz</WarmongerColor></AbilityTag> (Fast Ability)
<Spacer>.</Spacer>
<Immersion>Benny cracks open his personal stash to put his friends back on their feet.</Immersion> Once per round, Pay 1 Energy to grant an allied Character +1 Physical Attack (PA) and heal them for 2 Physical Health (PH).

<AbilityTag><WarmongerColor>Premium Stash</WarmongerColor></AbilityTag> (Passive Ability)
<Spacer>.</Spacer>
<Immersion>Benny pours the good stuff, making his allies hit harder.</Immersion> <AbilityTag><WarmongerColor>A1 Drinkz</WarmongerColor></AbilityTag> now costs 0 Energy to activate, grants +3 Physical Attack (PA), and heals 3 Physical Health (PH).",,Warmonger
Caleb,,CalebTheRedRingReaper,CalebTheRedRingReaperLVLUP,Character,Ascendants,Assholes,Pwners,3,2,3,2,2,"Caleb starts literally melting the hardware with his toxicity.When Caleb has personally witnessed 3 Characters die while afflicted with either the Exhausted, Silenced, or Stunned status, he levels up.","<AbilityTag><AssholeColor>Teabag</AssholeColor></AbilityTag> (Trigger Ability)
<Spacer>.</Spacer>
<Immersion>Caleb dances on their bodies and ruins their game.</Immersion> When an enemy Character is Murdered, pay 1 Energy to roll a 6-sided die (d6) and target an enemy Character
<Spacer>.</Spacer>
<Immersion>1-3: Inflict Exhausted.</Immersion> 
4-5
<Spacer>.</Spacer>
<Immersion>Inflict Silenced.</Immersion> 
6
<Spacer>.</Spacer>
<Immersion>Inflict Stunned.</Immersion>","<AbilityTag><AssholeColor>Teabag</AssholeColor></AbilityTag> (Trigger Ability)
<Spacer>.</Spacer>
<Immersion>Caleb dances on their bodies and ruins their game.</Immersion> When an enemy Character is Murdered, pay 1 Energy to roll a 6-sided die (d6) and target an enemy Character
<Spacer>.</Spacer>
<Immersion>1-3: Inflict Exhausted.</Immersion> 
4-5
<Spacer>.</Spacer>
<Immersion>Inflict Silenced.</Immersion> 
6
<Spacer>.</Spacer>
<Immersion>Inflict Stunned.</Immersion>

<AbilityTag><AssholeColor>Red Ring of Death</AssholeColor></AbilityTag> (Standard Ability)
<Spacer>.</Spacer>
<Immersion>Caleb bricks their system and traps them offline.</Immersion> Once per Round, pay 2 Energy to inflict the <AbilityTag><AssholeColor>Bricked</AssholeColor></AbilityTag> status on an enemy Character. A <AbilityTag><AssholeColor>Bricked</AssholeColor></AbilityTag> Character suffers the effects of both Stunned and Silenced, and this status cannot be removed by card effects.

To reboot and clear this status, the opponent must use their Phase 2 action, pay 1 Energy, and roll a d6
<Spacer>.</Spacer>
<Immersion>4-6: The reboot succeeds and the status is cleared.</Immersion>

1-3
<Spacer>.</Spacer>
<Immersion>The reboot fails and they remain <AbilityTag><AssholeColor>Bricked</AssholeColor></AbilityTag>.</Immersion>",,Asshole
"Corazon
<Subcolor>the Contraband Cassanova</Subcolor>",,CorazontheContrabandCassanova,CorazontheContrabandCassanovaLVLUp,Character,Ascendants,Assholes,Pimp Juice,3,2,4,4,5,"Corazon knows they are hooked, and now it's time to collect.When Corazon has successfully generated a cumulative total of 3 temporary Energy for the opponent across the game, he levels up.","<AbilityTag><AssholeColor>The First Hit is Free</AssholeColor></AbilityTag> (Trigger Ability)
<Spacer>.</Spacer>
<Immersion>Corazon gives you the first hit as a gift, but the rest will cost you.</Immersion> Whenever he successfully lands a strike on an enemy Character or Life Points, the opponent is forced to add 1 temporary Energy to their Resource Row until the end of the Round.","<AbilityTag><AssholeColor>The First Hit is Free</AssholeColor></AbilityTag> (Trigger Ability)
<Spacer>.</Spacer>
<Immersion>Corazon gives you the first hit as a gift, but the rest will cost you.</Immersion> Whenever he successfully lands a strike on an enemy Character or Life Points, the opponent is forced to add 1 temporary Energy to their Resource Row until the end of the Round.

<AbilityTag><AssholeColor>The Collection</AssholeColor></AbilityTag> (Passive Ability)
<Spacer>.</Spacer>
<Immersion>Corazon lets the withdrawals hit hard, forcing them to pay up with everything they have.</Immersion> While he is face-up on the Board, the maximum Physical Health (PH) of all enemy Characters is permanently reduced by an amount equal to the total number of Unused cards in the opponent's Resource Row (plus any of their temporary Energy).",,Asshole
"Decoy
<Subcolor>1st Crown - Supreme Inca</Subcolor>",,DecoyOverlordoftheOminousOrders1stCrown,DecoyOverlordoftheOminousOrders1stCrownlvlup,Character,Ascendants,Overthinkers,Latin Kings,5,1,4,4,3,"Decoy stands over his fallen brothers and steps up to end the war.When Decoy has Sacrificed 3 Latin Kings, he levels up.","<AbilityTag><OverthinkerColor>La Familia</OverthinkerColor></AbilityTag> (Passive Ability)
<Spacer>.</Spacer>
<Immersion>Decoy's punishment for hesitation is far more agonizing than anything the enemy could inflict.</Immersion> All allied Latin Kings gain +2 Physical Attack (PA).

<AbilityTag><OverthinkerColor>Sangre Por Sangre</OverthinkerColor></AbilityTag> (Fast Ability)
<Spacer>.</Spacer>
<Immersion>Blood pays for blood, and Decoy uses his pawns as living weapons.</Immersion> Pay 1 Energy and Sacrifice an allied Latin King
<Spacer>.</Spacer>
<Immersion>Deal permanent Physical Health (PH) damage equal to the Sacrificed Character's current PA to a target enemy Character.</Immersion>","<AbilityTag><OverthinkerColor>La Familia</OverthinkerColor></AbilityTag> (Passive Ability)
<Spacer>.</Spacer>
<Immersion>Decoy's punishment for hesitation is far more agonizing than anything the enemy could inflict.</Immersion> All allied Latin Kings gain +2 Physical Attack (PA).

<AbilityTag><OverthinkerColor>Sangre Por Sangre</OverthinkerColor></AbilityTag> (Fast Ability)
<Spacer>.</Spacer>
<Immersion>Blood pays for blood, and Decoy uses his pawns as living weapons.</Immersion> Pay 1 Energy and Sacrifice an allied Latin King
<Spacer>.</Spacer>
<Immersion>Deal permanent Physical Health (PH) damage equal to the Sacrificed Character's current PA to a target enemy Character.</Immersion>

<AbilityTag><OverthinkerColor>5 Point Strike</OverthinkerColor></AbilityTag> (Passive Ability)
<Spacer>.</Spacer>
<Immersion>Decoy channels the collective fury of his entire empire into one devastating blow.</Immersion> During a Combat Wave where Decoy is an attacker, his Physical Attack (PA) is increased by the total combined PA of all other allied Latin Kings on the Board.

<AbilityTag><OverthinkerColor>Improved Sangre Por Sangre</OverthinkerColor></AbilityTag>
<Spacer>.</Spacer>
<Immersion>(Fast Ability): He executes his own pawns with such calculated, visceral brutality that the enemy line completely freezes in shock.</Immersion> Pay 1 Energy and Sacrifice an allied Latin King
<Spacer>.</Spacer>
<Immersion>Deal permanent Physical Health (PH) damage equal to the Sacrificed Character's current PA to a target enemy Character.</Immersion> If this damage Murders the target, completely Counter the opponent's Combat Wave (if active), or prevent them from declaring a Combat Wave this Round.",,Overthinker
"Dilo
<Subcolor>The Silk-Tie Silencer</Subcolor>",,DiloTheSilk-TieSilencer,DiloTheSilk-TieSilencerLVLUP,Character,Ascendants,Assholes,Pimp Juice,5,4,4,2,3,"He is done being just the muscle; he demands his voting seat at the table.When the opponent discards their 4th card of the game, Dilo levels up.","<AbilityTag><AssholeColor>Gag Order</AssholeColor></AbilityTag> (Fast Ability)
<Spacer>.</Spacer>
<Immersion>Dilo guarantees that secrets stay off the record.</Immersion> Pay 1 Energy to inflict Silenced on an enemy Character until the end of the Round.

<AbilityTag><AssholeColor>You Break It, You Buy It</AssholeColor></AbilityTag> (Trigger Ability)
<Spacer>.</Spacer>
<Immersion>Damaging assets triggers an immediate, non-negotiable tax.</Immersion> If your opponent Murders an allied Character or destroys an allied Tactic/Attachment, they must discard a card from their Hand.","<AbilityTag><AssholeColor>Gag Order</AssholeColor></AbilityTag> (Fast Ability)
<Spacer>.</Spacer>
<Immersion>Dilo guarantees that secrets stay off the record.</Immersion> Pay 1 Energy to inflict Silenced on an enemy Character until the end of the Round.

<AbilityTag><AssholeColor>You Break It, You Buy It</AssholeColor></AbilityTag> (Trigger Ability)
<Spacer>.</Spacer>
<Immersion>Damaging assets triggers an immediate, non-negotiable tax.</Immersion> If your opponent Murders an allied Character or destroys an allied Tactic/Attachment, they must discard a card from their Hand.

<AbilityTag><AssholeColor>The Takeover</AssholeColor></AbilityTag> <icon=""Extortionist""/>
<Spacer>.</Spacer>
<Immersion>Now an equal partner, his personal cut grows with every collection.</Immersion> When Dilo successfully lands an attack on Life Points, your opponent discards a card from their hand. Every time he successfully triggers this, he permanently gains +2 Physical Attack (PA) and +2 Physical Health (PH).",,Asshole
"Dre
<Subcolor>Mastermind of the 134</Subcolor>",,DreMastermindofthe134,DreMastermindofthe134lvlup,Character,Ascendants,Overthinkers,Mobb 134,5,3,4,3,5,"As more people obey the commandments, the true prophecy begins..During Phase 3, if 4 or more Commandments are activated simultaneously, Dre levels up.","<AbilityTag><OverthinkerColor>The Master Plan</OverthinkerColor></AbilityTag> (Trigger Ability)
<Spacer>.</Spacer>
<Immersion>He took the chaos of the streets and turned it into law.</Immersion> When summoned, search your Main Deck or Graveyard for the 134 Bible Attachment and immediately equip it to him. During Phase 3 (The End Step), trigger the effects of all Commandment cards currently on your side of the Board.","<AbilityTag><OverthinkerColor>The Master Plan</OverthinkerColor></AbilityTag> (Trigger Ability)
<Spacer>.</Spacer>
<Immersion>He took the chaos of the streets and turned it into law.</Immersion> When summoned, search your Main Deck or Graveyard for the 134 Bible Attachment and immediately equip it to him. During Phase 3 (The End Step), trigger the effects of all Commandment cards currently on your side of the Board.

<AbilityTag><OverthinkerColor>The Final Verdict</OverthinkerColor></AbilityTag> (Trigger Ability)
<Spacer>.</Spacer>
<Immersion>Street brawls are for the faithless and Dre demands biblical erasure of all nonbelievers.</Immersion> During Phase 3, activate all Commandments on your side of the Board. If 7 or more are activated, immediately destroy every Character, Tactic, and Attachment on the opponent's Board.",,Overthinker
Fefe,,,,Character,Ascendants,Icons,,,,,,,,,,,Icon
